"Location ID","Effective Date","Location Name","Location Usage",Superior Location,Inactive,Latitude,Longitude,Altitude,Time Profile,Locale,Time Zone,Default Currency,Effective Date,Country,Address Line Type,Address Line Data,Municipality,Submunicipality Type,Submunicipality Data,Country Region,Subregion Type,Subregion Data,Postal Code,Public,Primary,Type,Use For,Municipality Local,Country ISO Code,International Phone Code,Phone Number,Phone Extension,Device Type,Public,Primary,Type,Use For
Manila,2020-01-01,Manila,BUSINESS ASSET,,n,14.559431,121.01758,0,Standard_Hours_40,en_PH,Asia/Kuala_Lumpur,PHP,2020-01-01,PH,ADDRESS_LINE_4,6767,Makati City,,,,,,1226,y,y,BUSINESS,BILLING,,PHL,63,28134967,,Landline,y,y,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_1,Ayala Avenue,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHL,63,27527529,,Fax,y,n,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
Milan,2020-01-01,Milan,BUSINESS ASSET,,n,45.471056,9.191823,0,Standard_Hours_35,it_IT,Europe/Paris,EUR,2020-01-01,IT,ADDRESS_LINE_1,Via Borgonuovo,Milan,,,ITA-MI,,,20121,y,y,BUSINESS,STREET,,ITA,39,0229.00.24.24,,Fax,y,n,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_4,2,,,,,,,,,,,BILLING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,ITA,39,0229.00.23.23,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
So_Paulo,2020-01-01,São Paulo,BUSINESS ASSET,,n,-23.525549,-46.675994,0,Standard_Hours_35,pt_BR,America/Recife,BRL,2020-01-01,BR,ADDRESS_LINE_1,Avenida Francisco Matarazzo,São Paulo,,,BRA-SP,,,05001-000,y,y,BUSINESS,STREET,,BRA,55,113675-2010,,Fax,y,n,BUSINESS,SHIPPING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_3,1400,,,,,,,,,,,BILLING,,BRA,55,113675-2000,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Shanghai,2020-01-01,Shanghai,BUSINESS ASSET,,n,31.239224,121.505184,0,Standard_Hours_40,zh_CN,CTT,CNY,2020-01-01,CN,ADDRESS_LINE_1,88 Century Boulevard,Shanghai,CITY_SUBDIVISION_1,Pudong,CHN-31,,,200121,y,y,BUSINESS,BILLING,,CHN,86,216101-8802,,Fax,y,n,BUSINESS,SHIPPING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_2,"52nd Floor, Jin Mao Tower",,,,,,,,,,,SHIPPING,,CHN,86,216101-8801,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
Paris,2020-01-01,Paris,BUSINESS ASSET,,n,48.870445,2.29228,0,Standard_Hours_35,fr_FR,Europe/Paris,EUR,2020-01-01,FR,ADDRESS_LINE_3,38,Paris,,,FRA-75,,,75116,y,y,BUSINESS,STREET,,FRA,33,185200200,,Landline,y,y,BUSINESS,SHIPPING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_1,Avenue Kléber,,,,,,,,,,,SHIPPING,,FRA,33,185200201,,Fax,y,n,BUSINESS,SHIPPING
,,,EXTENDED ENTERPRISE AFFILIATION,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,
Nice,2020-01-01,Nice,BUSINESS ASSET,,n,43.667934,7.213898,0,Standard_Hours_35,fr_FR,Europe/Paris,EUR,2020-01-01,FR,ADDRESS_LINE_3,455,Nice,,,FRA-6,,,6000,y,y,BUSINESS,STREET,,FRA,33,0482 44 01 00,,Landline,y,y,BUSINESS,SHIPPING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_1,Promenade des Anglais,,,,,,,,,,,SHIPPING,,FRA,33,0482 44 01 01,,Fax,y,n,BUSINESS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,
Amsterdam,2020-01-01,Amsterdam,BUSINESS ASSET,,n,52.378533,4.888144,0,Standard_Hours_40,nl_NL,Europe/Amsterdam,EUR,2020-01-01,NL,ADDRESS_LINE_1,Keizersgracht,Amsterdam,,,NLD-NH,,,1015 NI,y,y,BUSINESS,STREET,,NLD,31,020537-1900,,Landline,y,y,BUSINESS,SHIPPING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_3,62,,,,,,,,,,,SHIPPING,,NLD,31,020537-1901,,Fax,y,n,BUSINESS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,
Tokyo,2020-01-01,Tokyo,BUSINESS ASSET,,n,35.652833,139.71056,0,Standard_Hours_40,ja_JP,JST,JPY,2020-01-01,JP,ADDRESS_LINE_1_LOCAL,恵比寿南1-7,Shibuya-ku,,,JPN-13,,,150-0022,y,y,BUSINESS,STREET,渋谷区,JPN,81,334361111,,Landline,y,y,BUSINESS,SHIPPING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_5_LOCAL,恵比寿タワー22F,,,,,,,,,,,SHIPPING,,JPN,81,334361112,,Fax,y,n,BUSINESS,
,,,EXTENDED ENTERPRISE AFFILIATION,,,,,,,,,,,,ADDRESS_LINE_2_LOCAL,シブヤク,,,,,,,,,,,MAILING,,,,,,,,,,
,,,,,,,,,,,,,,,ADDRESS_LINE_4_LOCAL,エビスミナミ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ADDRESS_LINE_1,1-7 Ebisuminami,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ADDRESS_LINE_2,Yebisu Tower 22F,,,,,,,,,,,,,,,,,,,,,
Montreal,2020-01-01,Montreal,BUSINESS ASSET,,n,45.51809,-73.558939,0,Standard_Hours_40,fr_CA,US/Eastern,CAD,2020-01-01,CA,ADDRESS_LINE_1,1001 de Maisonneuve Blvd. East,Montreal,,,CAN-QC,,,H2L 4P9,y,y,BUSINESS,STREET,,CAN,1,514849-1002,,Fax,y,n,BUSINESS,SHIPPING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_2,Suite 999,,,,,,,,,,,SHIPPING,,CAN,1,514849-1001,,Landline,y,y,BUSINESS,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,
Sydney,2020-01-01,Sydney,BUSINESS ASSET,,n,-33.872001,151.203997,0,Standard_Hours_38,en_AU,Australia/Sydney,AUD,2020-01-01,AU,ADDRESS_LINE_1,211 Sussex Street,Sydney,,,AUS-NSW,,,2000,y,y,BUSINESS,STREET,,AUS,61,282224021,,Fax,y,n,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,EXTENDED ENTERPRISE AFFILIATION,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,61,282224020,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
London,2020-01-01,London,BUSINESS ASSET,,n,51.507527,-0.126836,0,Standard_Hours_40,en_GB,Europe/London,GBP,2020-01-01,GB,ADDRESS_LINE_1,2-3 Northumberland Avenue,London,,,,,,WC2N,y,y,BUSINESS,STORAGE,,GBR,44,2073331415,,Fax,y,n,BUSINESS,SHIPPING
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,STREET,,GBR,44,2073331414,,Landline,y,y,BUSINESS,SHIPPING
,,,EXTENDED ENTERPRISE AFFILIATION,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,
Mexico_City,2020-01-01,Mexico City,BUSINESS ASSET,,n,19.427137,-99.194934,0,Standard_Hours_40,es_MX,Mexico/General,MXN,2020-01-01,MX,ADDRESS_LINE_1,Andrés Bello 29,Alcaldia Miguel Hidalgo,CITY_SUBDIVISION_1,Colonia Polanco,MEX-CMX,,,11550,y,y,BUSINESS,STORAGE,,MEX,52,5551514001,,Fax,y,n,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,STREET,,MEX,52,5551514000,,Landline,y,y,BUSINESS,
,,,EXTENDED ENTERPRISE AFFILIATION,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,
Vancouver,2020-01-01,Vancouver,BUSINESS ASSET,,n,49.28354,-123.119037,0,Standard_Hours_40,en_CA,US/Pacific,CAD,2020-01-01,CA,ADDRESS_LINE_1,"800 West Georgia Street, Suite 1801",Vancouver,,,CAN-BC,,,V6C 3H1,y,y,BUSINESS,STREET,,CAN,1,604787-8201,,Fax,y,n,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,CAN,1,604787-8200,,Landline,y,y,BUSINESS,
Singapore,2020-01-01,Singapore,BUSINESS ASSET,,n,1.299022,103.860111,0,Standard_Hours_40,en_SG,Asia/Singapore,SGD,2020-01-01,SG,ADDRESS_LINE_3,5,Singapore,,,,,,38985,y,y,BUSINESS,STORAGE,,SGP,65,6625.8802,,Fax,y,n,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_1,Temasek Boulevard,,,,,,,,,,,STREET,,SGP,65,6625.8801,,Landline,y,y,BUSINESS,
,,,,,,,,,,,,,,,ADDRESS_LINE_7,Suntec Tower,,,,,,,,,,,SHIPPING,,,,,,,,,,
Barcelona,2020-01-01,Barcelona,BUSINESS ASSET,,n,41.392248,2.161968,0,Standard_Hours_35,es_ES,Europe/Paris,EUR,2020-01-01,ES,ADDRESS_LINE_1,Rambla de Catalunya 79 5º,Barcelona,,,ESP-B,,,8007,y,y,BUSINESS,STREET,,ESP,34,93205.01.01,,Fax,y,n,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,ESP,34,93205.01.00,,Landline,y,y,BUSINESS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,
Stockholm,2020-01-01,Stockholm,BUSINESS ASSET,,n,59.337808,18.070128,0,Standard_Hours_40,sv_SE,Europe/Stockholm,SEK,2020-01-01,SE,ADDRESS_LINE_1,Birger Jarlsgatan,Stockholm,,,SWE-AB,,,11356,y,y,BUSINESS,STREET,,SWE,46,8405.01.01,,Fax,y,n,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_3,29,,,,,,,,,,,SHIPPING,,SWE,46,8405.01.00,,Landline,y,y,BUSINESS,
Munich,2020-01-01,Munich,BUSINESS ASSET,,n,48.147133,11.579869,0,Standard_Hours_37_5,de_DE,Europe/Berlin,EUR,2020-01-01,DE,ADDRESS_LINE_1,Ludwigstraße,Munich,,,DEU-BY,,,80539,y,y,BUSINESS,STREET,,DEU,49,89310.3312,,Fax,y,n,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_3,14,,,,,,,,,,,SHIPPING,,DEU,49,89310.3311,,Landline,y,y,BUSINESS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,
Geneva,2020-01-01,Geneva,BUSINESS ASSET,,n,46.217124,6.147645,0,Standard_Hours_35,fr_CH,Europe/Paris,CHF,2020-01-01,CH,ADDRESS_LINE_1,Rue de Lausanne,Geneva,,,CHE-GE,,,1202,y,y,BUSINESS,STREET,,CHE,41,22705.87.88,,Fax,y,n,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_3,79 7,,,,,,,,,,,SHIPPING,,CHE,41,22705.87.87,,Landline,y,y,BUSINESS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,
Dallas,2020-01-01,Dallas,BUSINESS ASSET,,n,32.784731,-96.782341,0,Standard_Hours_40,en_US,US/Central,USD,2020-01-01,US,ADDRESS_LINE_1,2843 Main Street,Dallas,,,USA-TX,,,75201,y,y,BUSINESS,STORAGE,,USA,1,214924-4545,,Landline,y,y,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,STREET,,USA,1,214924-4546,,Fax,y,n,BUSINESS,
,,,PAYROLL TAX,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,
Boston,2020-01-01,Boston,BUSINESS ASSET,,n,42.344668,-71.071029,0,Standard_Hours_40,en_US,US/Eastern,USD,2020-01-01,US,ADDRESS_LINE_1,545 Tremont Street,Boston,,,USA-MA,,,2116,y,y,BUSINESS,STREET,,USA,1,617448-9898,,Landline,y,y,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,USA,1,617448-9899,,Fax,y,n,BUSINESS,
,,,PAYROLL TAX,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,
Atlanta,2020-01-01,Atlanta,BUSINESS ASSET,,n,33.856393,-84.349144,0,Standard_Hours_40,en_US,US/Eastern,USD,2020-01-01,US,ADDRESS_LINE_1,3755 Peachtree Road NE,Atlanta,,,USA-GA,,,30305,y,y,BUSINESS,SHIPPING,,USA,1,404285-0909,,Landline,y,y,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,,,USA,1,404285-0999,,Fax,y,n,BUSINESS,
,,,PAYROLL TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago,2020-01-01,Chicago,BUSINESS ASSET,,n,41.885138,-87.62146,0,Standard_Hours_40,en_US,US/Central,USD,2020-01-01,US,ADDRESS_LINE_1,200 East Randolph Street,Chicago,,,USA-IL,,,60605,y,y,BUSINESS,STREET,,USA,1,312942-4545,,Landline,y,y,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,BILLING,,USA,1,312942-4546,,Fax,y,n,BUSINESS,
,,,PAYROLL TAX,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,
New_York,2020-01-01,New York,EXTENDED ENTERPRISE AFFILIATION,,n,40.756961,-73.98335,0,Standard_Hours_40,en_US,US/Eastern,USD,2020-01-01,US,ADDRESS_LINE_1,1155 Avenue of the Americas,New York,,,USA-NY,,,10036,y,y,BUSINESS,STREET,,USA,1,2126503222,,Landline,y,y,BUSINESS,
,,,BUSINESS ASSET,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,USA,1,2126503223,,Fax,y,n,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,
,,,PAYROLL TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco,2020-01-01,San Francisco,EXTENDED ENTERPRISE AFFILIATION,,n,37.808462,-122.40881,0,Standard_Hours_40,en_US,US/Pacific,USD,2020-01-01,US,ADDRESS_LINE_1,3939 The Embarcadero,San Francisco,,,USA-CA,,,94111,y,y,BUSINESS,STREET,,USA,1,4156352755,,Landline,y,y,BUSINESS,BILLING
,,,BUSINESS ASSET,,,,,,,,,,,,,,,,,,,,,,,,BILLING,,,,,,,,,,SHIPPING
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,REMIT
,,,PAYROLL TAX,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,USA,1,4156352775,,Fax,y,n,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
Singapore_Suntec_Tower,,Suntec Tower,WORK SPACE,Singapore,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building,,1155 Building,WORK SPACE,New_York,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_2,,Embarcadero Tower 2,WORK SPACE,San_Francisco,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1,,Embarcadero Tower 1,WORK SPACE,San_Francisco,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore_Suntec_Tower_Suite_500B,,Suite 500B,WORK SPACE,Singapore_Suntec_Tower,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Suite_1500,,Suite 1500,WORK SPACE,New_York_1155_Building,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_2_Suite_300_Under_Construction,,Suite 300 - Under Construction,WORK SPACE,San_Francisco_Embarcadero_Tower_2,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_2_Suite_200,,Suite 200,WORK SPACE,San_Francisco_Embarcadero_Tower_2,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_2_Suite_100,,Suite 100,WORK SPACE,San_Francisco_Embarcadero_Tower_2,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Suite_300,,Suite 300,WORK SPACE,San_Francisco_Embarcadero_Tower_1,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Suite_200,,Suite 200,WORK SPACE,San_Francisco_Embarcadero_Tower_1,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Suite_100,,Suite 100,WORK SPACE,San_Francisco_Embarcadero_Tower_1,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore_Suntec_Tower_Cubicle_515,,Cubicle 515,WORK SPACE,Singapore_Suntec_Tower_Suite_500B,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore_Suntec_Tower_Cubicle_513,,Cubicle 513,WORK SPACE,Singapore_Suntec_Tower_Suite_500B,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore_Suntec_Tower_Cubicle_512,,Cubicle 512,WORK SPACE,Singapore_Suntec_Tower_Suite_500B,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore_Suntec_Tower_Cubicle_511,,Cubicle 511,WORK SPACE,Singapore_Suntec_Tower_Suite_500B,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1525,,Cubicle 1525,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1524,,Cubicle 1524,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1523,,Cubicle 1523,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1522,,Cubicle 1522,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1521,,Cubicle 1521,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1520,,Cubicle 1520,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1519,,Cubicle 1519,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1518,,Cubicle 1518,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1517,,Cubicle 1517,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1516,,Cubicle 1516,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1515,,Cubicle 1515,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1514,,Cubicle 1514,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1513,,Cubicle 1513,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1512,,Cubicle 1512,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1511,,Cubicle 1511,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1510,,Cubicle 1510,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1509,,Cubicle 1509,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1508,,Cubicle 1508,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
